timestamp,cpu_usage,ram_usage,disk_usage,disk_read,disk_write,battery_percent,process_count,heavy_process_count
2026-01-17 23:27:05,38.3,83.4,9.8,7316992,119898112,36,256,13
2026-01-17 23:27:38,45.4,84.3,9.8,10594816,125362176,38,256,13
2026-01-17 23:28:12,21.1,86.0,9.8,51133952,88514560,39,258,8
2026-01-17 23:28:46,29.8,85.7,9.8,5083648,97472512,40,259,6
2026-01-17 23:29:20,23.5,90.9,9.8,30598144,75276288,41,264,11
2026-01-17 23:29:54,32.4,91.1,9.8,5564416,80492544,43,261,7
2026-01-17 23:30:28,20.7,93.2,9.8,5503488,58306560,43,262,12
2026-01-17 23:31:02,30.0,92.6,9.8,3191808,68943872,44,261,7
2026-01-17 23:31:37,42.7,95.7,9.8,452093440,136220672,45,273,9
2026-01-17 23:32:12,44.2,95.4,9.8,80475648,26787840,46,275,11
2026-01-17 23:32:47,35.5,95.1,9.8,249687040,97521664,47,269,11
2026-01-17 23:33:22,41.9,95.3,9.8,10567680,66236416,49,267,11
2026-01-17 23:33:56,18.3,88.9,9.8,95257600,375943168,50,269,7
2026-01-17 23:34:32,22.6,83.9,9.8,8923136,87867392,50,270,8
2026-01-17 23:35:07,20.8,84.3,9.8,4860928,75071488,50,267,6
2026-01-17 23:35:42,37.1,84.9,9.8,1089536,83030016,51,266,9
2026-01-17 23:36:16,14.1,85.5,9.8,6909952,81498112,52,269,7
2026-01-17 23:36:51,16.0,85.1,9.8,66721792,39100416,52,266,8
2026-01-17 23:37:27,16.5,85.3,9.8,794624,68415488,53,266,6
2026-01-17 23:38:02,29.2,84.9,9.8,1007616,72343552,54,265,10
2026-01-17 23:38:36,28.6,84.2,9.8,55114752,115990528,54,268,10
2026-01-17 23:39:11,28.3,84.3,9.8,3337728,78336000,54,266,12
2026-01-17 23:39:46,15.0,83.5,9.8,1181696,43274240,55,270,5
2026-01-17 23:40:21,19.9,83.1,9.8,212992,72790016,56,265,10
2026-01-17 23:40:56,26.7,84.2,9.8,4483072,62439424,56,266,10
2026-01-17 23:41:30,17.4,84.1,9.8,1474560,43827200,57,267,7
2026-01-17 23:42:05,19.0,84.9,9.8,847872,35328000,58,266,5
2026-01-17 23:42:39,28.8,84.4,9.8,430080,11976704,58,266,8
2026-01-17 23:43:14,17.9,84.3,9.8,315392,6291456,58,264,6
2026-01-17 23:43:48,18.1,83.1,9.8,692224,5951488,59,267,9
2026-01-17 23:44:22,21.3,82.5,9.8,1653760,6750208,60,266,10
2026-01-17 23:44:56,47.1,84.5,9.8,18197504,5058560,60,266,9
2026-01-17 23:45:31,19.4,85.7,9.8,2760192,12406784,61,265,6
2026-01-17 23:46:06,32.5,85.5,9.8,2614272,17039360,61,269,8
2026-01-17 23:46:42,16.6,85.0,9.8,49310720,20271104,62,268,6
2026-01-17 23:47:17,29.3,83.7,9.8,20036608,35323904,63,265,5
2026-01-17 23:47:52,19.6,85.1,9.8,1837568,7696384,63,268,7
2026-01-17 23:48:26,15.4,84.1,9.8,290816,27811840,64,268,5
2026-01-17 23:49:01,29.9,80.2,9.8,0,13557760,64,268,8
2026-01-17 23:49:36,27.7,79.9,9.8,2570752,5627904,65,267,7
2026-01-17 23:50:11,19.9,80.9,9.8,827392,12525568,65,267,4
2026-01-17 23:50:46,22.2,81.0,9.8,466944,20807680,66,265,5
2026-01-17 23:51:20,16.0,80.9,9.8,1466880,12156928,67,265,7
2026-01-17 23:51:54,23.5,81.4,9.8,3291136,13271040,67,265,8
2026-01-17 23:52:29,21.2,83.9,9.8,2421760,6041600,67,265,5
2026-01-17 23:53:04,19.1,79.3,9.8,55301632,14741504,68,273,8
2026-01-17 23:53:38,20.7,76.9,9.8,14245376,17743872,69,271,10
2026-01-17 23:54:13,13.0,77.1,9.8,14061568,9244672,69,280,8
2026-01-17 23:54:48,28.0,79.2,9.8,1752064,28487680,70,275,7
2026-01-17 23:55:24,62.3,80.9,9.8,8865792,10309632,70,270,8
2026-01-17 23:55:59,22.8,82.3,9.8,1711616,26480640,71,270,10
2026-01-17 23:56:34,17.5,81.6,9.8,5939200,13029376,72,267,8
2026-01-17 23:57:09,48.2,82.8,9.8,35802112,82419712,72,271,10
2026-01-17 23:57:43,24.9,81.9,9.8,8366080,32391168,72,267,6
2026-01-17 23:58:18,25.6,84.6,9.8,153522688,125157376,73,267,13
2026-01-17 23:58:53,34.3,84.8,9.9,10814464,238202880,73,273,12
2026-01-17 23:59:27,45.8,87.9,10.0,44750848,210927104,74,276,9
2026-01-18 00:00:05,31.6,84.3,10.0,344775680,1119637504,75,276,9
2026-01-18 00:00:42,33.5,80.7,10.0,26486272,115392512,75,279,12
2026-01-18 00:01:20,33.1,79.0,10.1,31016960,151191552,76,279,14
2026-01-18 00:01:57,38.3,79.3,10.1,20221440,101898240,77,273,11
2026-01-18 00:02:34,45.6,80.5,10.2,12023296,118730752,77,272,9
2026-01-18 00:03:11,39.0,82.6,10.2,18366464,47849472,77,280,7
2026-01-18 00:03:47,27.9,81.5,10.2,36787712,10108928,78,275,9
2026-01-18 00:04:23,61.7,83.3,10.2,57129984,36818944,79,277,9
2026-01-18 00:04:59,35.5,77.8,10.2,6230016,46137344,79,276,9
